ANDORRA;4.2;1.46;1.34;-9.51
ANDROID;7.77;6.83;1.84;7.33
ANDROMEDA;8.36;0.18;0.31;-6.54
ANGEL;3.78;4.96;2.04;-4.92
ANGSTROM;9.99;6.49;3.7;-8.19
ANGUS;7.29;5.71;4.94;8.72
ANIMAL;7.2;-3.34;1.42;4.83
APACHE;9.91;1.08;0.77;9.02
APOGEE;9.98;2.65;1.4;8.77
APOLLO;7.0;-2.48;1.35;7.33
APPRENTICE;8.88;9.62;3.91;-4.62
APRIL;7.51;5.5;0.82;9.96
AQUARIUS;0.5;6.92;0.03;0.11
ARAPAHO;8.4;3.64;0.24;1.4
ARCHIE;3.33;4.07;2.79;4.68
ARES;3.8;-2.16;2.72;3.53
ARGUS;0.83;6.88;0.88;3.58
ARI;1.53;0.26;2.12;-6.74
ARIEL;0.36;-2.47;0.74;9.55
ARIES;2.36;-3.75;4.29;5.71
ARISTOTLE;9.58;-3.74;4.61;-2.36
ARMANI;9.53;1.09;1.38;-4.62
ARMSTRONG;4.18;1.09;2.78;-7.39
ARTY;8.87;-2.2;0.86;-7.74
ASHES;3.48;-4.24;0.08;9.6
ASIA;2.01;-0.21;2.13;-4.39
ASPEN;2.71;9.51;2.43;2.6
ASPHALT;8.17;7.35;4.94;-7.81
ASSET;3.57;6.78;0.94;0.64
ASTRO;1.92;4.51;4.96;-8.45
ASYLUM;6.85;2.77;1.88;-3.55
ATHENA;7.33;-2.79;3.17;-4.5
ATLANTIS;3.72;-4.67;2.53;-2.73
ATLAS;1.12;7.22;2.08;4.02
ATOM;4.54;-3.21;3.71;-7.26
ATTICUS;9.92;0.28;2.77;4.98
ATTILA;6.59;3.69;1.49;-0.54
AUDACITY;9.57;0.07;3.33;-0.23
AUDITOR;4.82;0.5;1.51;7.05
AUGUST;6.35;-0.78;0.22;2.22
AUGUSTUS;1.92;7.58;0.63;-4.43
AUREOLE;3.14;1.5;0.57;-6.82
AURORA;6.69;7.29;2.12;-1.17
AUSSIE;5.43;8.78;4.5;-2.35
AUSTIN;2.26;5.89;1.54;-6.31
AUTOBAHN;5.08;9.47;2.94;-2.75
AUTUMN;7.88;-2.42;1.82;-0.17
AVALANCHE;1.96;-0.63;2.51;-5.2
AVALON;1.03;5.79;2.51;-0.19
AVANTI;6.07;9.43;0.52;-6.36
AVIS;8.49;5.74;3.99;-5.62
AXLE;5.55;-1.28;4.08;-1.28
B.B.;8.01;0.7;4.14;-7.49
BABA;7.98;-0.62;3.87;-8.12
BABBIT;4.51;3.51;0.85;1.13
BABE;5.51;4.72;4.13;-1.51
BABETTE;7.14;8.44;0.24;4.33
BABIRUSA;6.18;9.61;1.88;7.74
BABS;6.28;-2.71;1.63;6.54
BABUSHKA;6.89;1.58;4.43;-6.1
BABY;1.82;-2.75;1.46;-0.13
BABY-DOLL;5.55;4.68;0.63;-9.31
BABY-FACE;6.76;2.16;4.8;-0.08
BABYKINS;2.66;-3.17;2.56;-3.79
BACCARAT;2.46;7.05;4.19;0.3
BACCHUS;5.08;4.98;0.51;-9.48
BACH;4.67;4.92;1.78;0.15
BACI;7.02;-3.15;0.42;-6.82
BACON;1.52;8.57;2.22;4.8
BADGER;6.15;0.5;4.26;-6.86
BAGGINS;7.65;-1.45;4.65;4.12
BAGUETTE;4.83;3.31;4.88;8.06
BAHAMA MAMA;0.85;2.67;3.67;-1.57
BAILEY;9.35;9.25;3.41;-4.51
BAJA;0.1;5.8;0.37;6.66
BALBOA;2.17;7.98;3.13;2.95
BALDRIC;6.5;7.55;0.58;-3.32
BALDWIN;5.05;2.88;0.57;9.56
BALDY;1.08;9.38;3.99;2.23
BALI;3.1;8.44;0.07;-3.96
BALLERINA;5.83;1.17;3.88;-3.26
BAM-BAM;2.55;6.93;0.12;5.62
BAMBI;6.99;6.08;3.42;-1.8
BAMBINO;7.43;7.27;0.35;3.18
BAMBOOZLER;2.04;6.54;1.04;5.36
BANDANNA;2.79;8.3;4.75;4.53
BANDIT;4.2;-2.51;3.11;9.76
BANDITO;4.73;2.15;2.62;-6.43
BANGLE;1.11;-2.75;4.0;-6.65
BANJO;9.86;7.29;0.41;9.19
BANNER;6.45;-0.27;4.32;6.55
BANQUO;9.45;4.34;3.29;9.47
BANSHEE;6.05;5.76;4.82;6.62
BANZAI;5.96;-3.06;2.14;5.21
BARBARIAN;2.31;4.79;4.33;0.78
BARBARINO;2.1;3.08;2.48;0.23
BARFLY;3.61;7.16;1.63;4.15
BARNACLE;5.13;-3.11;3.24;0.62
BARNEY;7.34;5.87;2.22;7.17
BARON;1.67;3.47;4.61;0.26
BAROQUE;8.33;5.44;2.31;-7.75
BART;0.56;-0.41;0.33;-5.22
BARTHOLOMEW;6.27;4.22;3.59;4.39
BARTON;4.13;-4.81;1.08;1.32
BASEL;8.96;0.33;3.43;5.67
BASHFUL;0.48;0.96;1.87;6.39
BASIL;9.96;5.11;1.8;8.2
BASS;2.02;9.66;2.63;8.87
BAXTER;2.34;6.72;1.91;5.36
BAYOU;7.82;3.47;2.4;-9.25
BAZOOKA;2.35;-4.73;3.28;6.23
BEACHBABY;0.27;3.18;3.76;-7.46
BEACHCOMBER;9.54;-0.46;2.01;2.73
BEAMER;8.35;-1.41;0.35;-4.06
BEANS;2.18;-0.6;4.21;4.43
BEAR;3.08;8.39;1.85;0.73
BEARLOCK HOLMES;9.5;1.27;4.99;0.69
BEAU;2.56;-3.3;1.54;8.39
BEAUCOUP;4.67;-1.72;1.36;-4.96
BEAUREGARD;6.96;6.72;3.37;9.51
BEAUTY;4.97;4.95;4.08;1.25
BEDOUIN;6.11;6.45;1.21;-2.53
BEEFEATER;8.07;0.77;4.27;-3.65
BEELZEBUB;4.87;9.22;4.69;-4.57
BEEPER;5.9;9.73;2.19;9.79
BEETHOVEN;3.96;1.47;1.82;9.12
BEETLEJUICE;0.06;7.58;1.63;-5.96
BEGONIA;6.55;8.32;0.13;2.57
BELLA MIA;5.15;-3.06;4.86;5.97
BELLADONNA;3.11;1.54;4.32;-1.09
BELLBOY;9.07;8.83;3.96;-5.88
BELLE;9.96;3.04;4.47;-6.14
BELUGA;1.63;3.78;0.98;-8.71
BEN;8.96;6.13;0.24;-6.14
BENGAL;5.47;8.34;0.41;-2.43
BENJI;8.79;0.04;2.77;-3.73
BENNINGTON;5.78;2.5;3.73;3.24
BENTLEY;0.31;-2.53;2.15;-6.24
BEOWOOF;7.62;6.89;2.08;6.59
BERBER;1.24;-1.82;4.65;-9.61
BERET;2.48;-2.86;4.36;6.17
BERTHA;8.02;5.84;0.06;1.37
BESSIE;7.85;-2.94;4.28;-7.48
BETA;4.77;8.88;0.87;-5.97
BETTY BOOP;6.34;0.68;1.11;8.75
BEULAH;2.28;4.58;1.15;-8.05
BEWITCHED;3.28;7.0;0.29;-4.68
BIALY;2.11;0.1;4.35;9.94
BIANCA;4.28;5.08;0.97;-1.95
BRIDGET;3.51;2.12;0.36;-8.26
BIG BOY;6.56;5.95;4.23;4.81
BIG DIPPER;3.36;-4.01;3.51;7.8
BIG TIME;0.66;-3.58;1.64;0.29
BIGFOOT;1.88;8.85;4.45;-4.25
BIJOU;1.42;8.59;0.26;-6.48
BIKER;9.18;-4.89;0.07;-9.82
BIKO;9.62;7.94;1.29;-1.68
BILBO ;0.5;6.03;1.81;-5.37
BIMBO;8.24;-3.93;0.98;-8.98
BINA;0.2;-0.44;4.1;-7.28
BINGO;9.91;8.42;3.55;-4.49
BIRDY;7.25;-0.53;0.78;0.62
BISHOP;4.32;5.98;2.15;-9.85
BISMARCK;7.47;-2.5;3.67;8.52
BITS;7.1;8.2;0.22;-3.46
BIZZY;0.13;0.22;3.75;2.77
BLACKBIRD;4.21;9.02;1.57;-5.29
BLACKIE;9.12;-3.46;1.54;6.59
BLACKJACK;8.12;0.67;4.31;-5.35
BLANCHE;1.44;0.18;4.67;1.14
BLAZE;4.82;-0.45;4.33;-1.16
BLIMP;8.12;-4.31;1.65;-5.57
BLITZEN;3.18;1.4;0.79;-4.39
BLONDIE;5.39;9.61;2.49;-9.71
BLOSSOM;0.4;7.69;2.18;8.06
BLOTTO;6.14;8.02;2.56;-5.26
BLUBBER;0.18;-2.31;2.57;8.32
BLUE;4.48;-0.52;2.87;1.8
BLUEBERRY;2.49;-4.31;4.32;-8.06
BLUEPRINT;8.6;6.98;0.64;6.38
BLUES;6.35;-4.23;4.28;-7.94
BLUNDER;9.48;-4.09;0.88;-3.93
BOA;9.67;5.46;2.24;-1.65
BOB;5.85;-1.56;0.34;-0.58
BOBO;2.4;8.49;1.27;-9.72
BOCA;7.97;4.35;2.01;-7.0
BOCCACCIO;2.24;-4.45;1.03;-0.5
BODACIOUS;5.42;1.18;4.11;-5.84
BOGART;3.97;5.6;1.39;1.24
BOGEYMAN;6.64;-4.14;4.1;-7.85
BOHEMIAN;6.76;4.32;4.75;-0.58
BOJANGLES;0.45;3.47;4.39;-5.4
BOLERO;5.5;-0.52;2.03;-4.9
BOLL WEEVIL;2.12;8.01;2.58;-8.22
BOLLA;5.48;2.45;3.22;-6.71
BOLOGNA;9.3;7.8;0.36;5.8
BOMBSHELL;1.49;3.48;4.85;7.68
BONBON;5.49;8.17;1.7;-2.87
BOND;5.66;-3.25;2.88;8.2
BONES;1.16;6.75;1.66;5.52
BONFIRE;0.12;5.83;0.84;1.0
BONGO;5.38;6.17;4.04;7.84
BONO;3.76;3.14;4.17;-4.2
BONSAI;2.94;2.16;1.83;-0.1
BOOBER;4.25;-3.93;3.12;0.26
BOO;4.81;4.35;0.95;-5.48
BOO-BOO;9.51;1.21;2.8;6.25
BOOGABOO;2.17;0.26;3.9;-6.65
BOOGIE-WOOGIE;4.85;6.88;4.94;-2.39
BOOKER;6.5;2.19;1.33;-5.63
BOOKIE;4.91;-2.31;2.69;-5.76
BOOM-BOOM;1.15;5.19;0.53;2.58
BOOMER;1.74;-1.19;0.49;-7.52
BOONE;1.95;3.11;1.36;-3.9
BOOTS;3.0;-3.44;2.76;6.2
BOOZER;7.11;3.5;1.32;4.76
BORA;6.75;0.06;0.96;-1.37
BORIS;9.08;0.95;2.5;3.84
BORSCHT;1.68;3.2;0.32;-0.45
BOSS;3.61;6.97;4.78;9.77
BOSSMAN;4.33;-0.67;3.3;7.72
BOUBA;3.57;-1.37;0.49;-9.66
BOUFFANT;7.24;-4.92;3.44;3.27
BOUGAINVILLEA;8.0;-3.54;2.38;6.65
BOUNCER;4.37;3.69;4.32;-0.31
BOUQUET;8.72;6.43;2.64;9.06
BOXER;2.89;1.36;4.78;-9.61
BOY;0.05;-0.95;2.25;-5.77
BOZ;2.61;-0.47;2.47;9.53
BOZO;9.06;-2.46;1.02;-4.23
BRADSTREET;7.15;-0.67;4.52;-8.17
BRAIN;6.71;6.21;4.99;5.7
BRAINCHILD;3.25;3.5;4.91;1.03
BRAINDEAD;2.53;8.11;4.08;8.88
BRANDO;7.07;9.52;4.69;2.16
BRANDY;7.98;-4.58;4.17;-2.31
BRANDYWINE;9.09;1.53;2.31;-3.16
BRASSY;6.3;-0.32;4.05;-0.67
BRAT;1.4;7.71;2.56;6.81
BRATWURST;8.92;2.45;3.84;-6.98
BRAVO;3.95;7.92;3.94;-4.67
BREATHLESS MAHONEY;1.24;1.04;2.82;-0.81
BREW;8.6;5.72;0.53;1.0
BREWSKY;2.84;-2.56;0.83;8.03
BRIE;2.52;-2.67;0.49;4.17
BRIER;0.01;-2.45;3.64;-0.22
BRIT;4.75;8.85;0.01;-9.7
BRITTANY;0.55;6.54;4.0;-6.23
BROADWAY;2.57;2.05;2.14;0.35
BRONCO;3.79;9.75;1.2;8.7
BRONSON;6.35;7.38;1.84;2.79
BRONTË;0.78;7.28;3.31;1.38
BROUHAHA;4.6;7.08;4.38;7.01
BROWN SUGAR;2.61;9.58;2.64;-3.92
BROWNIE;2.98;9.59;0.63;2.97
BRUIN;6.75;9.56;0.84;1.79
BRUNHILDA;3.77;-4.52;4.11;-3.18
BRUNO;4.39;-4.16;1.84;-0.06
BRUTUS;4.84;3.77;0.72;-2.83
BUBBA;3.81;0.29;1.53;9.25
BUBBLES;9.31;1.41;3.5;-8.0
BUCCANEER;7.52;-2.87;4.72;0.73
BUCK;0.23;6.89;1.02;0.66
BUCKAROO;3.32;-1.12;1.08;-0.7
BUCKEYE;6.27;-1.25;4.02;-8.94
BUCKHEAD;2.12;9.29;2.8;-4.98
BUCKINGHAM;7.84;-2.79;1.49;-3.51
BUCKO;7.52;6.01;3.39;-9.34
BUCKSHOT;4.64;7.15;3.36;-7.88
BUCKWHEAT;4.97;-4.85;2.72;-1.79
BUD;8.96;8.41;3.48;-4.21
BUDDY;0.69;3.61;0.22;1.39
BUFFOON;0.89;3.68;2.47;2.83
BUFFY;2.99;-1.3;4.05;6.57
BUG;4.57;2.96;1.7;9.87
BUGINARUG;1.29;-2.04;0.37;9.21
BUGSY;6.85;7.08;0.46;7.07
BUGTUSSIE;0.4;6.74;3.14;8.28
BUICK;2.3;-3.21;0.09;3.91
BULLET;0.37;8.86;1.13;5.78
BULLFACE;1.04;-2.61;4.66;-1.91
BULLION;4.53;0.0;0.12;-6.35
BULLWINKLE;8.31;8.08;4.3;2.22
BUM;0.99;-2.77;4.21;-4.64
BUMPER;7.27;8.31;3.53;8.45
BUMPKIN;5.21;6.41;2.0;-5.53
BUNK;8.96;2.74;3.05;-4.74
BUNNY;3.89;8.53;3.93;7.37
BURGER;5.77;9.97;4.76;6.62
BURGUNDY;2.86;-0.8;4.01;2.53
BURLY;7.53;8.72;1.13;-1.81
BURMA;4.19;-0.25;4.92;-6.61
BURP;1.55;9.36;1.13;-9.96
BUSTER;0.15;6.97;1.88;-2.68
BUTCH;0.61;1.96;1.28;-8.84
BUTKUS;4.29;2.1;2.07;-2.09
BUTTER;5.27;1.12;1.62;4.97
BUTTERBALL;2.3;8.64;2.44;-7.32
BUTTERCUP;9.57;6.42;2.64;-8.84
BUTTERMILK;7.86;-2.64;0.02;-6.37
BUTTERSCOTCH;1.42;1.13;0.34;3.0
BUTTS;1.1;-4.65;0.21;-7.13
BUZZ;1.77;-4.4;3.21;5.57
BUZZARD;0.03;9.96;4.77;-9.41
BYRON;8.89;5.36;0.61;4.06
BYTE;7.42;-2.81;2.22;7.54
C.C.;6.75;8.06;3.8;-2.67
C.E.O.;8.59;2.59;0.03;9.57
CABARET;8.96;1.52;1.86;-3.77
CABO;7.47;7.02;3.85;-3.99
CABOODLE;2.22;4.63;0.95;-8.33
CABOOSE;1.47;2.66;0.56;9.68
CADBURY;5.64;-3.95;1.79;2.01
CADDY;7.63;4.03;2.95;-9.48
CADENCE;5.02;-0.47;1.38;-5.35
CADET;5.26;2.23;0.24;-0.02
CADILLAC;3.4;3.79;1.22;1.48
CAESAR;2.94;9.33;4.88;8.82
CAGNEY;1.88;8.0;0.52;-6.8
CAIRO;9.85;-1.19;2.21;5.24
CAJUN;7.25;8.13;4.31;1.84
CALAMITY;4.24;1.36;0.94;5.75
CALIBER;5.13;-1.8;2.37;6.84
CALICO;4.28;4.61;3.66;-3.97
CALIFORNIA;0.32;3.75;1.36;3.76
CALLOWAY;8.87;-1.6;2.65;-5.98
CALVIN;8.22;4.34;3.54;1.09
CALYPSO;8.67;1.72;2.79;-7.37
CAMELOT;3.65;9.75;2.06;-5.69
CAMEMBERT;0.09;0.68;4.43;4.07
CAMEO;6.22;4.14;3.69;-7.57
CAMUS;7.29;0.66;0.31;-6.58
CANDY;3.5;0.62;1.36;-3.5
CANIS;0.08;9.85;2.12;-6.75
CAPER;6.11;2.64;0.01;-5.04
CAPO;7.74;-0.11;3.12;-2.84
CAPONE;0.99;2.4;0.59;5.55
CAPRICORN;1.58;-2.07;4.96;-6.15
CAPTAIN;2.01;0.1;3.18;-1.3
CARAMBA;1.34;3.7;2.66;9.53
CARAMEL;9.13;1.7;1.48;1.76
CARAMELO;3.2;-1.57;3.36;-9.44
CARGO;0.27;1.54;2.38;9.51
CARIBOU;9.56;1.11;0.3;3.79
CARNATION;2.19;5.01;0.22;9.95
CAROB;3.28;-2.66;0.1;-3.13
CAROLINA;9.42;0.14;1.78;0.72
CARRAWAY;1.63;3.03;2.42;5.55
CASANOVA;2.57;0.74;4.46;-4.35
CASBAH;7.5;6.03;2.4;0.69
CASEY;0.1;2.41;0.96;6.21
CASH;8.3;-4.51;2.62;-8.27
CASHMERE;9.92;-3.31;0.45;7.81
CASINO;5.0;9.07;2.37;9.19
CASPAR;9.73;-2.84;2.01;5.39
CASPER;6.69;-3.83;3.51;-6.41
CASPIAN;7.69;5.11;2.99;-1.62
CASSIDY;8.23;3.91;3.29;2.55
CASSIE;7.16;-3.79;0.43;9.62
CASSIS;1.28;-3.01;0.69;-5.99
CASSIUS;2.12;-1.73;0.63;8.15
CASTAWAY;1.36;5.57;4.39;7.11
CATALINA;2.18;4.04;2.7;0.37
CATAMARAN;6.09;9.93;1.31;8.78
CAVIAR;8.54;6.64;3.55;9.66
CAYENNE;2.4;8.25;1.36;-2.5
CECIL;4.94;-0.97;2.72;9.0
CECILY;2.89;-1.03;4.79;2.16
CERBERUS;0.06;7.54;1.84;-3.56
C'EST MOI;3.88;1.68;0.35;-2.05
CHA SU BAO;0.18;8.67;4.89;8.14
CHABLIS;0.65;5.24;3.15;6.48
CHA-CHA;3.7;1.36;1.38;8.94
CHALET;7.2;4.72;2.81;-7.23
CHALLENGER;1.39;1.44;1.08;4.79
CHAMBRAY;1.05;8.31;3.49;-4.1
CHAMOIS;8.81;-1.69;0.07;7.32
CHAMPAGNE;5.58;3.47;3.69;-4.05
CHAMPION;9.88;7.6;4.13;4.97
CHANEL;5.15;-4.31;0.06;4.34
CHANTILLY;2.99;-2.22;1.78;0.56
CHAOS;0.72;-3.28;0.53;9.85
CHAPLIN;3.68;-3.38;0.43;0.1
CHARADE;6.19;8.35;3.51;-2.4
CHARLOTTE;0.27;-1.88;0.56;2.46
CHARMER;8.01;5.89;0.98;3.18
CHAUCER;1.37;-1.46;3.87;4.94
CHAUFFEUR;3.52;4.75;4.74;9.45
CHAYA;6.78;-0.88;2.62;4.13
CHECCA;5.39;-2.67;1.11;-2.1
CHECK;5.71;-2.94;3.93;-2.76
CHECKERS;2.67;0.56;0.86;-7.92
CHEDDAR;8.71;4.81;3.51;-6.77
CHEERLEADER;0.88;9.1;2.16;-4.57
CHEETAH;2.29;6.48;0.18;8.95
CHEKHOV;6.55;-3.0;0.83;-9.51
CHELSEA;7.73;4.14;3.14;9.71
CHERUB;3.72;-4.9;3.18;-8.0
CHESTER;7.92;-4.69;0.83;-0.81
CHEWBACCA;2.77;4.95;3.19;-8.85
CHEW-CHEW;8.76;-3.21;0.95;8.42
CHEWY;4.13;8.63;1.96;-6.97
CHEYENNE;4.0;8.78;2.76;-1.28
CHIANTI;2.12;7.69;3.41;-5.2
CHIC;5.08;-3.13;3.94;-1.91
CHICLET;6.7;-1.54;1.95;-3.29
CHICO;9.72;3.15;0.56;-3.85
CHICORY;3.13;4.26;3.42;3.25
CHIEF;5.93;6.97;4.88;7.11
CHIFFON;2.46;4.18;2.52;-3.23
CHILI;0.18;-1.23;2.1;-4.24
CHINA;7.85;6.51;0.71;-9.42
CHINA DOLL;1.38;-0.1;3.3;5.99
CHINCHILLA;4.56;9.05;0.05;-5.71
CHIN-CHIN;4.37;4.82;3.06;-3.02
CHIP;3.69;-3.09;4.6;8.12
CHIPMUNK;9.65;5.69;1.71;-3.67
CHIPPER;2.5;-2.7;2.43;8.76
CHIPS;8.02;8.21;2.98;5.43
CHIQUITA;6.38;4.77;2.12;-6.02
CHIVAS;1.79;-3.41;4.64;-3.54
CHLOE;0.16;-1.33;4.51;-1.81
CHO MEIN;6.38;3.74;0.35;5.76
CHOCOLATA;9.15;8.58;1.03;-3.64
CHOCOLATE;8.76;-2.92;2.85;-6.17
CHOCTAW;2.31;7.66;1.8;-1.63
CHOLO;1.82;-1.42;4.15;5.93
CHOO-CHOO;2.98;1.47;2.44;1.23
CHOPIN;5.86;6.93;0.36;-6.07
CHOPPER;4.81;9.93;0.15;-8.64
CHOPSTICKS;1.39;-1.88;4.41;3.3
CHORIZO;2.97;2.79;0.62;-5.9
CHOTCHKE;9.57;-0.59;1.67;-4.14
CHOWDER;3.49;3.28;3.76;-7.0
CHUBBY;9.18;-4.05;4.31;2.26
CHUBFISH;5.86;8.09;2.36;5.79
CHUMP;1.75;2.25;1.82;4.62
CHUNK;6.56;5.9;4.09;9.64
CHUNKY;8.6;5.3;1.22;-6.41
CHURCHILL;3.75;4.94;3.53;-7.36
CHUTNEY;6.3;-0.9;1.62;9.92
CHUTZPA;5.77;-0.7;2.13;-5.97
CIAO;9.58;4.69;4.32;5.28
CIMARRON;8.8;2.2;0.22;0.45
CINDER;3.04;3.5;0.65;1.75
CINNAMON;1.09;8.24;1.56;-9.79
CINNAMON BEAR;5.6;-0.11;1.13;-4.69
CIRCE;4.24;5.27;2.02;3.04
CISCO;4.18;-1.53;0.6;-7.48
CITRON;4.09;-4.38;0.32;-2.28
CITRUS;5.6;0.03;0.65;-4.33
CLASSY;6.37;4.67;4.98;4.48
CLEMENTINE;7.98;3.5;1.24;-4.21
CLEO;4.97;-0.81;2.97;4.83
CLICHÉ;5.82;5.43;0.42;-1.6
CLIPPER;2.79;0.58;1.58;-4.18
CLONE;4.94;7.27;1.69;-8.15
CLOVER;8.15;8.26;1.54;1.01
CLYDE;6.48;-0.86;0.12;-7.04
COCONUT;1.67;-4.19;0.48;-4.26
COCOPUFF;1.26;-2.22;4.51;9.66
CODY;1.55;7.33;2.18;-1.61
COGNAC;8.39;-4.78;4.17;5.49
COLA;7.27;9.61;3.27;5.47
COLONEL;4.79;7.98;4.95;-4.33
COLT;4.52;-0.48;0.23;-7.51
COMET;4.34;1.09;0.83;9.52
COMPADRE;6.49;0.07;0.94;7.81
CONAN;8.26;4.2;3.0;-0.9
CONDOR;9.29;2.09;1.12;-7.9
CONFECTION;0.54;6.38;0.31;-1.53
CONFETTI;1.58;2.21;2.39;0.22
CONFUCIUS;4.98;-0.24;0.66;3.96
CONGA;1.21;6.74;4.72;8.18
CONGO;2.76;5.7;4.39;9.61
CONJURER;4.03;9.7;2.67;-7.82
COOKIE;1.86;-3.56;2.05;-2.21
COOKIE MONSTER;2.52;1.95;0.53;-7.95
COON;2.5;3.17;0.0;9.91
COOTER;4.53;-2.68;3.29;-3.44
COPPER;4.83;1.25;3.65;6.75
COQUETTE;4.76;5.03;1.2;-7.47
CORAL;7.96;5.83;4.38;-6.71
CORAZON;4.12;1.96;2.12;5.26
CORDIAL;1.68;6.01;2.4;7.73
CORDOBA;4.85;6.42;2.04;2.45
CORI;4.9;-1.32;4.17;-0.35
CORKY;1.39;-0.45;0.53;-1.1
CORONA;7.2;-2.86;4.0;6.79
CORONET;9.8;-1.45;3.83;4.16
CORY;2.43;-1.32;1.06;5.5
COSMO;0.92;5.23;0.05;0.64
COUCH POTATO;5.82;3.29;3.94;-5.57
COUNT;4.98;6.84;1.51;4.13
COURVOISIER;8.62;0.4;1.39;-3.75
COUSCOUS;7.76;-0.28;1.23;4.23
COUSTEAU;6.53;8.33;3.89;7.36
COWBOY;1.14;-4.39;1.26;6.86
COWGIRL;1.07;0.67;2.32;-9.93
CRACKER;3.1;3.77;2.09;6.11
CRANBERRY;5.21;7.04;0.72;7.11
CRASH;4.98;0.78;3.51;-2.21
CRAWDAD;7.24;4.69;1.94;3.5
CRAWFORD;6.06;8.91;3.7;-8.27
CRESCENT;9.37;1.08;0.82;5.03
CRICKET;8.36;2.62;4.24;5.39
CRIER;9.84;6.29;0.92;8.64
CRIMSON;6.59;-3.71;0.44;5.87
CRISTYL;0.26;2.87;2.22;4.1
CRITTER;1.19;-4.64;2.21;-7.53
CROCKETT;1.9;9.7;3.16;-8.03
CROCUS;4.51;6.54;2.29;-2.64
CROISSANT;7.37;9.66;1.92;7.37
CROMWELL;2.88;6.64;4.58;6.42
CROUTON;6.9;-4.62;2.93;4.78
CRUISER;9.73;-1.78;1.88;7.59
CRUMB;0.26;0.38;0.93;2.96
CRUMPET;7.51;-0.84;3.37;-1.1
CRUNCHER;8.67;2.3;1.03;-4.58
CRUSADER;8.53;-3.11;3.53;-6.46
CRUSOE;2.84;7.92;4.67;-4.23
CRYBABY;7.54;6.75;0.34;4.33
CRYSTAL;6.24;4.43;2.44;-7.09
CUBBY;1.03;2.82;2.02;-5.39
CUCARACHA;5.03;4.02;1.05;-4.22
CUCINA;1.23;3.01;2.69;7.87
CUCKOO;8.52;8.61;3.0;-7.58
CUDDLES;4.74;9.57;3.47;-6.21
CUERVO;6.73;9.59;3.78;-6.92
CUPCAKE;8.67;4.17;2.22;-7.8
CURIOUS GEORGE;3.87;6.56;2.54;-7.7
CURLY;9.33;5.93;0.78;2.97
CURMUDGEON;9.26;2.76;3.55;9.42
CURRY;1.39;9.49;0.32;-6.33
CUTIE;9.61;-1.6;2.08;-7.25
CUTIE PIE;7.4;-1.2;1.33;2.28
CYPRESS;9.14;7.23;4.32;-3.48
CYRANO;0.69;-3.89;1.3;-2.45
CZAR;6.37;5.17;2.51;6.13
DA VINCI;6.54;4.53;4.14;3.68
DAGWOOD;9.25;8.46;2.47;-9.14
DAIQUIRI;9.56;6.12;1.72;2.34
DAISY;2.28;3.05;2.21;8.97
DAKOTA;7.36;1.17;4.34;8.57
DALI;2.38;5.06;1.15;-4.7
DALLAS;3.2;3.38;2.93;3.33
DAMAGE;2.14;-3.59;1.3;5.49
DAMSEL;2.82;-0.94;2.12;9.71
DANCER;2.18;8.06;2.4;-2.74
DANDELION;3.23;2.36;4.67;5.19
DANK;6.38;-2.47;4.77;-7.08
